back_dock_nearby.wav,"Impossible de rejoindre la base, veuillez retirer les obstacles !"
bin_in.wav,"Réservoir installé."
bin_out.wav,"Réservoir retiré."
binout_error10.wav,"Réservoir retiré, veuillez nettoyer le filtre !"
bl_recovery_bootfailed.wav,"Le démarrage de la récupération a échoué."
bl_recovery_failed.wav,"La récupération a échoué."
bl_recovery_retry.wav,"Nouvel essai de récupération."
bl_recovery_start.wav,"Démarrage de la récupération."
bl_recovery_updatefailed.wav,"La mise à jour de la récupération a échoué."
charging.wav,"Rechargement."
clean_bin.wav,"Veuillez vider le réservoir."
clean_finish.wav,"Fin du nettoyage."
error1.wav,"Erreur 1, essayez de tourner la pièce orange du laser pour vérifier qu'elle n'est pas bloquée."
error2.wav,"Erreur 2, nettoyez et secouez légèrement les capteurs de collision."
error3.wav,"Erreur 3, déplacez l'appareil à un autre endroit et relancez le nettoyage."
error4.wav,"Erreur 4, nettoyez les capteurs de vide, déplacez l'appareil à un autre endroit et réessayez."
error5.wav,"Erreur 5, nettoyez les poils et les roulements de la brosse principale."
error6.wav,"Erreur 6, enlevez et nettoyez la brosse latérale."
error7.wav,"Erreur 7, vérifiez que les roues ne sont pas bloquées, déplacez l'appareil à un autre endroit et réessayez."
error8.wav,"Erreur 8, retirez tous les obstacles autour de l'appareil."
error9.wav,"Erreur 9, installez le réservoir et le filtre."
error10.wav,"Erreur 10, nettoyez ou remplacez le filtre."
error11.wav,"Erreur 11, un puissant champs magnétique a été détecté. Ecartez l'appareil du mur virtuel et réessayez."
error12.wav,"Erreur 12, niveau de la batterie trop faible, rechargez l'appareil."
error13.wav,"Erreur 13, rechargement impossible. Vérifiez que les contacts de rechargements sont propres."
error14.wav,"Erreur 14, Problème de batterie."
error15.wav,"Erreur 15, Nettoyez le capteur de murs."
error16.wav,"Erreur 16, Placez l'appareil sur une surface plane et réessayez."
error17.wav,"Erreur 17, Problème sur la brosse latérale. Veuillez redémarrer l'appareil."
error18.wav,"Erreur 18, Problème d'aspiration. Veuillez redémarrer l'appareil."
error19.wav,"Erreur 19, la base de rechargement n'est pas alimentée. Vérifiez la connexion à la prise de courant."
error_internal.wav,"Une erreur interne est survenue. Veuillez redémarrer l'appareil."
findme.wav,"Hé ! Je suis ici."
finish.wav,"Nettoyage terminé."
home.wav,"Retour à la base de rechargement."
no_power_charging.wav,"Batterie faible, besoin de plus de temps pour recharger."
no_power.wav,"Batterie faible, retour à la base de rechargement."
no_spot_on_dock.wav,"Placez l'appareil à l'endroit ciblé avant de démarrer le nettoyage de la zone."
pause.wav,"Pause."
power_off_rejected.wav,"Retirez l'appareil de sa base de rechargement pour l'éteindre."
power_off.wav,"Extinction."
power_resume_clean.wav,"Batterie chargée, reprise du nettoyage."
remote_complete.wav,"Fin d'utilisation du contrôle à distance."
remote.wav,"Utilisation du contrôle à distance."
restart_clean.wav,"Position inconnue, démarrage d'un nouveau nettoyage."
resume_clean.wav,"Reprise du nettoyage."
resume_home.wav,"Retour à la base de rechargement."
return_no.wav,"Impossible de retourner au point de départ."
return_yes.wav,"Impossible de trouver la base de rechargement. Déplacez l'aspirateur plus près de la base et réessayez."
spot.wav,"Démarrage du nettoyage de la zone."
start.wav,"Démarrage du nettoyage."
stop_spot.wav,"Fin du nettoyage de la zone."
stop.wav,"Fin du nettoyage."
sysupd_complete.wav,"Mise à jour réussie."
sysupd_failed.wav,"La mise à jour du logiciel a échoué, veuillez utiliser une ancienne version."
sysupd_notready.wav,"Veuillez réessayer la mise à jour quand l'aspirateur est chargé au moins à 20%."
sysupd_start.wav,"Début de la mise à jour du logiciel. Il faut compter 5 à 10 minutes."
sysupd_wip.wav,"Veuillez patienter jusqu'à ce que la mise à jour soit finie."
timed_clean.wav,"Démarrage du nettoyage planifié."
wifi_reset.wav,"Réinitialisation du Wi-Fi."
